,0
pct_unique_words,0.17493577439342192
stopwords_rate,0.1552235519956096
spelling_error_rate,0.1428717727350183
num_unique_words,0.12456920298262864
num_stopwords,0.10769986286178987
num_words,0.10749569993809506
num_spelling_errors,0.08736400343403271
num_urgent_keywords_rate,0.035576855513296764
links_per_word,0.01996088191904327
num_email_addresses,0.011808750948162769
num_urgent_keywords,0.01131213373033058
num_unique_domains,0.007333195199719511
num_links,0.0072283922579705435
num_unique_domains_rate,0.006619922090880494
